age;-1250;-750;-250;250;750;1250;1750;2250;2750;3250;3750;4250;4750;5750;6250;7250;7750;8250;8750;9250
Radius;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243
Model;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Abies;116;85;58;63;79;81;92;93;150;23;2;0;2;0;0;0;0;0;0;0
Alnus;26;36;77;65;46;68;74;65;122;64;49;50;45;46;38;18;3;1;0;0
Betula;118;21;39;76;68;70;50;45;55;26;50;48;46;54;47;69;49;103;244;201
Carpinus;14;11;12;3;10;4;5;3;2;1;0;0;0;0;0;0;0;0;0;0
Corylus;45;19;27;19;16;23;27;42;140;69;107;118;156;97;135;185;242;104;13;1
Fagus;193;134;140;123;118;126;105;120;175;95;59;10;13;4;0;0;0;0;0;0
Picea;177;86;50;46;71;64;74;81;293;199;171;106;102;140;120;25;40;13;3;1
Pinus;95;35;44;90;63;56;39;34;65;20;47;67;59;58;95;135;167;240;347;320
Poaceae;74;11;10;11;15;6;13;8;7;3;11;11;5;10;7;16;6;5;25;15
Quercus;44;31;30;20;17;25;31;25;42;29;40;54;46;42;31;40;26;5;2;0
Tilia;2;1;2;0;3;4;3;4;12;4;10;11;12;11;17;10;7;1;0;1
Ulmus;9;2;4;1;3;4;2;3;2;10;19;32;35;32;39;23;29;20;17;2